,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,,Mike Mahoney,CHC,7,1,2,1,0,0,1,0,0,1,0,.286,.444,.429,.873,0.1
34,,Morgan Ensberg,HOU,7,0,2,0,0,0,0,0,0,0,1,.286,.286,.286,.571,-0.2
35,233,Al Martin,SEA/SD,480,81,137,15,10,15,36,10,9,36,85,.285,.338,.452,.791,0.3
36,234,Aaron Boone,CIN,291,44,83,18,0,12,43,6,1,24,52,.285,.356,.471,.826,1.8
37,235,John Olerud,SEA,565,84,161,45,0,14,103,0,2,102,96,.285,.392,.439,.831,3.3
38,236,Danny Bautista,FLA/ARI,351,54,100,20,7,11,59,6,2,25,50,.285,.333,.476,.809,0.3
39,237,Jacque Jones,MIN,523,66,149,26,5,19,76,7,5,26,111,.285,.319,.463,.781,1.0
40,238,Mike Bordick,BAL/NYM,583,88,166,30,1,20,80,9,6,49,99,.285,.341,.443,.783,2.5
41,239,Todd Hundley,LA,299,49,85,16,0,24,70,0,1,45,69,.284,.375,.579,.954,2.3
42,240,Troy Glaus,ANA,563,120,160,37,1,47,102,14,11,112,163,.284,.404,.604,1.008,7.5
0,241,Mike Mordecai,MON,169,20,48,16,0,4,16,2,2,12,34,.284,.335,.450,.785,0.5
1,242,Jeff Conine,BAL,409,53,116,20,2,13,46,4,3,36,53,.284,.341,.438,.779,0.4
2,243,J.T. Snow,SF,536,82,152,33,2,19,96,1,3,66,129,.284,.365,.459,.824,0.6
3,244,Ryan Klesko,SD,494,88,140,33,2,26,92,23,7,91,81,.283,.393,.516,.909,3.0
4,245,Julio Lugo,HOU,420,78,119,22,5,10,40,22,9,37,93,.283,.346,.431,.777,-0.1
5,246,Steve Cox,TB,318,44,90,19,1,11,35,1,2,45,47,.283,.379,.453,.832,1.0
6,247,Geoff Blum,MON,343,40,97,20,2,11,45,1,4,26,60,.283,.335,.449,.784,0.7
7,248,Paul O'Neill,NYY,566,79,160,26,0,18,100,14,9,51,90,.283,.336,.424,.760,1.0
8,249,Chuck Knoblauch,NYY,400,75,113,22,2,5,26,15,7,46,45,.283,.366,.385,.751,0.1
9,250,Shane Spencer,NYY,248,33,70,11,3,9,40,1,2,19,45,.282,.330,.460,.789,0.4
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,,Scott Sheldon,TEX,124,21,35,11,0,4,19,0,0,10,37,.282,.336,.468,.804,0.4
12,252,David Ortiz,MIN,415,59,117,36,1,10,63,1,0,57,81,.282,.364,.446,.810,0.5
13,253,Roger Cedeno,HOU,259,54,73,2,5,6,26,25,11,43,47,.282,.383,.398,.781,0.3
14,254,Jorge Fabregas,KC,142,13,40,4,0,3,17,1,0,8,11,.282,.320,.373,.693,0.2
15,,Josh Paul,CWS,71,15,20,3,2,1,8,1,0,5,17,.282,.338,.423,.760,0.5
16,256,Wally Joyner,ATL,224,24,63,12,0,5,32,0,0,31,31,.281,.365,.402,.767,0.1
17,,Mark Loretta,MIL,352,49,99,21,1,7,40,0,3,37,38,.281,.350,.406,.757,1.9
18,258,Bengie Molina,ANA,473,59,133,20,2,14,71,1,0,23,33,.281,.318,.421,.739,1.4
19,259,Derrek Lee,FLA,477,70,134,18,3,28,70,0,3,63,123,.281,.368,.507,.875,1.8
20,260,Albert Belle,BAL,559,71,157,37,1,23,103,0,5,52,68,.281,.342,.474,.817,0.4
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,261,Mark Grace,CHC,510,75,143,41,1,11,82,1,2,95,28,.280,.394,.429,.824,2.8
23,262,Steve Finley,ARI,539,100,151,27,5,35,96,12,6,65,87,.280,.361,.544,.904,3.2
24,263,Ray Durham,CWS,614,121,172,35,9,17,75,25,13,75,105,.280,.361,.450,.810,2.9
25,264,A.J. Burnett,FLA,25,3,7,1,1,1,3,0,0,3,10,.280,.357,.520,.877,0.5
26,265,Tony Eusebio,HOU,218,24,61,18,0,7,33,0,0,25,45,.280,.361,.459,.820,0.3
27,266,Torii Hunter,MIN,336,44,94,14,7,5,44,4,3,18,68,.280,.318,.408,.726,0.0
28,267,Ben Grieve,OAK,594,92,166,40,1,27,104,3,0,73,130,.279,.359,.487,.845,2.0
29,268,Mark Grudzielanek,LA,617,101,172,35,6,7,49,12,3,45,81,.279,.335,.389,.724,1.5
30,269,Randy Velarde,OAK,485,82,135,23,0,12,41,9,3,54,95,.278,.354,.400,.754,2.1
31,,Lyle Mouton,MIL,97,14,27,7,1,2,16,1,0,10,29,.278,.349,.433,.782,0.2
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,271,Joe Girardi,CHC,363,47,101,15,1,6,40,1,0,32,61,.278,.339,.375,.714,1.4
34,272,Hal Morris,DET/CIN,169,24,47,9,1,3,14,0,0,31,26,.278,.391,.396,.788,0.6
35,273,Kenny Lofton,CLE,543,107,151,23,5,15,73,30,7,79,72,.278,.369,.422,.791,3.2
36,274,Mike Lamb,TEX,493,65,137,25,2,6,47,0,2,34,60,.278,.328,.373,.702,-1.2
37,275,Dave McCarty,KC,270,34,75,14,2,12,53,0,0,22,68,.278,.329,.478,.807,1.3
38,,Pedro Valdes,TEX,54,4,15,5,0,1,5,0,0,6,7,.278,.350,.426,.776,-0.1
39,,Tom Evans,TEX,54,10,15,4,0,0,5,0,3,10,13,.278,.394,.352,.746,0.0
40,,Fernando Seguignol,MON,162,22,45,8,0,10,22,0,1,9,46,.278,.326,.512,.838,-0.4
41,279,Mike Lieberthal,PHI,389,55,108,30,0,15,71,2,0,40,53,.278,.352,.470,.822,2.2
42,280,Edgar Renteria,STL,562,94,156,32,1,16,76,21,13,63,77,.278,.346,.423,.770,1.9
0,281,Eric Chavez,OAK,501,89,139,23,4,26,86,2,2,62,94,.277,.355,.495,.850,2.1
1,282,Fred McGriff,TB,566,82,157,18,0,27,106,2,0,91,120,.277,.373,.452,.826,-0.1
2,283,Midre Cummings,BOS/MIN,206,29,57,10,0,4,24,0,0,17,28,.277,.341,.383,.724,0.4
3,284,Trot Nixon,BOS,427,66,118,27,8,12,60,8,1,63,85,.276,.368,.461,.830,2.2
4,285,Wil Cordero,CLE/PIT,496,64,137,35,5,16,68,1,2,32,76,.276,.328,.464,.792,-0.7
5,286,Darryl Hamilton,NYM,105,20,29,4,1,1,6,2,0,14,20,.276,.358,.362,.720,0.0
6,287,Ricky Gutierrez,CHC,449,73,124,19,2,11,56,8,2,66,58,.276,.375,.401,.775,1.3
7,288,Luis Polonia,DET/NYY,344,48,95,14,5,7,30,12,7,29,32,.276,.329,.407,.736,-0.1
8,289,Melvin Mora,BAL/NYM,414,60,114,22,5,8,47,12,11,35,80,.275,.337,.411,.748,1.2
9,290,Miguel Tejada,OAK,607,105,167,32,1,30,115,6,0,66,102,.275,.349,.479,.828,3.9
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,291,Todd Pratt,NYM,160,33,44,6,0,8,25,0,0,22,31,.275,.378,.463,.840,1.2
12,292,Matt Williams,ARI,371,43,102,18,2,12,47,1,2,20,51,.275,.315,.431,.746,0.1
13,293,Stan Javier,SEA,342,61,94,18,5,5,40,4,3,42,64,.275,.351,.401,.751,0.3
14,294,Doug Glanville,PHI,637,89,175,27,6,8,52,31,8,31,76,.275,.307,.374,.681,0.3
15,295,Damian Miller,ARI,324,43,89,24,0,10,44,2,2,36,74,.275,.347,.441,.788,1.8
16,296,Gregg Jefferies,DET,142,18,39,8,0,2,14,0,2,16,10,.275,.344,.373,.717,0.1
17,297,Bill Haselman,TEX,193,23,53,18,0,6,26,0,1,15,36,.275,.329,.461,.790,1.2
18,298,Jeff Abbott,CWS,215,31,59,15,1,3,29,2,1,21,38,.274,.343,.395,.738,-0.4
19,299,Wendell Magee Jr.,DET,186,31,51,4,2,7,31,1,0,10,28,.274,.310,.430,.740,-0.2
20,300,Tony Clark,DET,208,32,57,14,0,13,37,0,0,24,51,.274,.349,.529,.878,1.0
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,301,Mike Hampton,NYM,73,7,20,0,0,0,8,0,1,5,20,.274,.313,.274,.586,0.6
23,302,Tony Graffanino,CWS/TB,168,33,46,6,1,2,17,7,4,22,27,.274,.363,.357,.720,1.1
24,303,Gerald Williams,TB,632,87,173,30,2,21,89,12,12,34,103,.274,.312,.427,.739,0.4
25,304,Dave Martinez,TEX/TOR/CHC/TB,457,60,125,19,5,5,47,8,7,50,73,.274,.346,.370,.716,0.3
26,305,Gregg Zaun,KC,234,36,64,11,0,7,33,7,3,43,34,.274,.390,.410,.800,0.6
27,306,Rey Sanchez,KC,509,68,139,18,2,1,38,7,3,28,55,.273,.314,.322,.637,2.0
28,307,Jose Valentin,CWS,568,107,155,37,6,25,92,19,2,59,106,.273,.343,.491,.835,4.7
29,308,Dave Magadan,SD,132,13,36,7,0,2,21,0,0,32,23,.273,.410,.371,.781,1.0
30,,Rick Wilkins,STL,11,3,3,0,0,0,1,0,0,2,2,.273,.385,.273,.657,0.0
31,,Willie Morales,BAL,11,1,3,1,0,0,0,0,0,0,3,.273,.273,.364,.636,0.1
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,,Brady Clark,CIN,11,1,3,1,0,0,2,0,0,0,2,.273,.273,.364,.636,0.1
34,312,Einar Diaz,CLE,250,29,68,14,2,4,25,4,2,11,29,.272,.323,.392,.715,1.1
35,313,Mo Vaughn,ANA,614,93,167,31,0,36,117,2,0,79,181,.272,.365,.498,.864,1.5
36,314,Richie Sexson,CLE/MIL,537,89,146,30,1,30,91,2,0,59,159,.272,.349,.499,.848,1.8
37,315,Chad Curtis,TEX,335,48,91,25,1,8,48,3,3,37,71,.272,.343,.424,.767,0.1
38,316,Ken Griffey Jr.,CIN,520,100,141,22,3,40,118,6,4,94,117,.271,.387,.556,.942,5.2
39,317,Rich Aurilia,SF,509,67,138,24,2,20,79,1,2,54,90,.271,.339,.444,.783,2.2
40,318,Tony Womack,ARI,617,95,167,21,14,7,57,45,11,30,74,.271,.307,.384,.692,0.0
41,319,Raul Mondesi,TOR,388,78,105,22,2,24,67,22,6,32,73,.271,.329,.523,.852,2.7
42,320,Mike Benjamin,PIT,233,28,63,18,2,2,19,5,4,12,45,.270,.313,.391,.704,1.0
0,321,Ron Coomer,MIN,544,64,147,29,1,16,82,2,0,36,50,.270,.317,.415,.733,-0.5
1,322,Mike Lowell,FLA,508,73,137,38,0,22,91,4,0,54,75,.270,.344,.474,.818,2.0
2,323,Jim Thome,CLE,557,106,150,33,1,37,106,1,0,118,171,.269,.398,.531,.929,4.4
3,324,Shawn Green,LA,610,98,164,44,4,24,99,24,5,90,121,.269,.367,.472,.839,2.8
4,325,Jay Canizaro,MIN,346,43,93,21,1,7,40,4,2,24,57,.269,.318,.396,.714,-0.2
5,326,Todd Hollandsworth,LA/COL,428,81,115,20,0,19,47,18,7,41,99,.269,.333,.449,.782,2.1
6,327,Todd Zeile,NYM,544,67,146,36,3,22,79,3,4,74,85,.268,.356,.467,.823,2.1
7,328,Craig Biggio,HOU,377,67,101,13,5,8,35,12,2,61,73,.268,.388,.393,.780,1.3
8,329,Bill Mueller,SF,560,97,150,29,4,10,55,4,2,52,62,.268,.333,.388,.721,1.1
9,330,Wilton Guerrero,MON,288,30,77,7,2,2,23,8,1,19,41,.267,.312,.326,.638,-0.9
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,331,Jay Bell,ARI,565,87,151,30,6,18,68,7,3,70,88,.267,.348,.437,.786,0.5
12,332,Mike Cameron,SEA,543,96,145,28,4,19,78,24,7,78,133,.267,.365,.438,.803,3.7
13,333,Eddie Taubensee,CIN,266,29,71,12,0,6,24,0,0,21,44,.267,.324,.380,.704,-1.3
14,334,Omar Daal,PHI/ARI,45,3,12,3,0,1,6,0,0,4,8,.267,.327,.400,.727,0.6
15,,Brian L. Hunter,CIN/COL,240,47,64,5,1,1,14,20,3,27,40,.267,.342,.308,.650,0.4
16,,Michael Tucker,CIN,270,55,72,13,4,15,36,13,6,44,64,.267,.381,.511,.892,1.8
17,337,Armando Rios,SF,233,38,62,15,5,10,50,3,2,31,43,.266,.347,.502,.849,0.8
18,338,Adam Kennedy,ANA,598,82,159,33,11,9,72,22,8,28,73,.266,.300,.403,.703,0.3
19,339,Devon White,LA,158,26,42,5,1,4,13,3,6,9,30,.266,.310,.386,.696,0.0
20,340,Brad Ausmus,DET,523,75,139,25,3,7,51,11,5,69,79,.266,.357,.365,.722,3.0
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,341,Derek Bell,NYM,546,87,145,31,1,18,69,8,4,65,125,.266,.348,.425,.773,1.5
23,342,Keith Lockhart,ATL,275,32,73,12,3,2,32,4,1,29,31,.265,.331,.353,.684,0.0
24,343,Bubba Trammell,NYM/TB,245,28,65,13,2,10,45,4,0,29,49,.265,.345,.457,.802,0.2
25,,Erubiel Durazo,ARI,196,35,52,11,0,8,33,1,0,34,43,.265,.373,.444,.817,0.2
26,345,Scott Hatteberg,BOS,230,21,61,15,0,8,36,0,1,38,39,.265,.367,.435,.801,-0.1
27,346,Chris Richard,BAL/STL,215,39,57,14,2,14,37,7,5,17,40,.265,.326,.544,.871,0.5
28,347,Lee Stevens,MON,449,60,119,27,2,22,75,0,0,48,105,.265,.337,.481,.818,0.5
29,348,Joe Oliver,SEA,200,33,53,13,1,10,35,2,1,14,38,.265,.313,.490,.803,0.9
30,349,Preston Wilson,FLA,605,94,160,35,3,31,121,36,14,55,187,.264,.331,.486,.817,1.7
31,350,Chad Kreuter,LA,212,32,56,13,0,6,28,1,0,54,48,.264,.416,.410,.827,2.0
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,351,Brian Jordan,ATL,489,71,129,26,0,17,77,10,2,38,80,.264,.320,.421,.742,1.8
34,352,Luis Lopez,MIL,201,24,53,14,0,6,27,1,2,9,35,.264,.309,.423,.732,0.4
35,353,Tom Goodwin,LA/COL,528,94,139,11,9,6,58,55,10,68,117,.263,.346,.352,.698,1.7
36,354,Tony Batista,TOR,620,96,163,32,2,41,114,5,4,35,121,.263,.307,.519,.827,2.0
37,355,Ronnie Belliard,MIL,571,83,150,30,9,8,54,7,5,82,84,.263,.354,.389,.743,2.1
38,356,Marvin Benard,SF,560,102,147,27,6,12,55,22,7,63,97,.263,.342,.396,.739,1.9
39,,Alex Cabrera,ARI,80,10,21,2,1,5,14,0,0,4,21,.263,.299,.500,.799,0.4
40,358,Benito Santiago,CIN,252,22,66,11,1,8,45,2,2,19,45,.262,.310,.409,.719,-0.3
41,359,John Flaherty,TB,394,36,103,15,0,10,39,0,0,20,57,.261,.296,.376,.671,-0.7
42,360,Mike Matheny,STL,417,43,109,22,1,6,47,0,0,32,96,.261,.317,.362,.679,1.6
0,361,Miguel Cairo,TB,375,49,98,18,2,1,34,28,7,29,34,.261,.314,.328,.642,-0.4
1,362,Troy O'Leary,BOS,513,68,134,30,4,13,70,0,2,44,76,.261,.320,.411,.731,0.8
2,363,Russ Davis,SF,180,27,47,5,0,9,24,0,3,9,29,.261,.302,.439,.741,-0.7
3,364,Butch Huskey,MIN/COL,307,40,80,21,0,9,45,1,3,41,63,.261,.346,.417,.762,-0.5
4,365,Shane Halter,DET,238,26,62,12,2,3,27,5,2,14,49,.261,.302,.366,.668,0.8
5,366,Walt Weiss,ATL,192,29,50,6,2,0,18,1,1,26,32,.260,.353,.313,.665,1.2
6,,Andy Tracy,MON,192,29,50,8,1,11,32,1,0,22,61,.260,.339,.484,.824,0.1
7,368,Craig Wilson,CWS,73,12,19,3,0,0,4,1,0,5,11,.260,.316,.301,.618,0.1
8,369,Lenny Harris,NYM/ARI,223,31,58,7,4,4,26,13,1,20,22,.260,.317,.381,.698,-0.1
9,370,Ryan Thompson,NYY,50,12,13,3,0,3,14,0,1,5,12,.260,.339,.500,.839,0.1
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,371,Pat Burrell,PHI,408,57,106,27,1,18,79,0,0,63,139,.260,.359,.463,.822,0.3
12,372,Chris Truby,HOU,258,28,67,15,4,11,59,2,1,10,56,.260,.295,.477,.772,-0.1
13,373,Warren Morris,PIT,528,68,137,31,2,3,43,7,10,65,78,.259,.341,.343,.684,-0.2
14,374,Kevin Millar,FLA,259,36,67,14,3,14,42,0,0,36,47,.259,.364,.498,.862,1.6
15,375,Damion Easley,DET,464,76,120,27,2,14,58,13,4,55,79,.259,.350,.416,.766,3.8
16,,Woody Williams,SD,58,10,15,4,0,1,9,0,0,4,26,.259,.308,.379,.687,0.7
17,377,Terry Shumpert,COL,263,52,68,11,7,9,40,8,4,28,40,.259,.340,.456,.796,0.3
18,378,Tino Martinez,NYY,569,69,147,37,4,16,91,4,1,52,74,.258,.328,.422,.749,0.0
19,379,Geronimo Berroa,LA,31,2,8,0,1,0,5,0,0,4,8,.258,.343,.323,.665,0.1
20,,Kevin Young,PIT,496,77,128,27,0,20,88,8,3,32,96,.258,.311,.433,.744,-1.7
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,381,Wilson Delgado,KC/NYY,128,21,33,2,0,1,11,2,1,11,26,.258,.312,.297,.609,0.8
23,382,Daryle Ward,HOU,264,36,68,10,2,20,47,0,0,15,61,.258,.295,.538,.833,-0.9
24,383,John Valentin,BOS,35,6,9,1,0,2,2,0,1,2,5,.257,.297,.457,.754,-0.2
25,384,Carlos Guillen,SEA,288,45,74,15,2,7,42,1,3,28,53,.257,.324,.396,.720,0.6
26,385,Brady Anderson,BAL,506,89,130,26,0,19,50,16,9,92,103,.257,.375,.421,.796,1.6
27,386,Mickey Morandini,TOR/PHI,409,41,105,15,4,0,29,6,2,36,77,.257,.322,.313,.635,-1.4
28,387,Carlos Febles,KC,339,59,87,12,1,2,29,17,6,36,48,.257,.345,.316,.660,1.5
29,388,Carlos A. Hernandez,STL/SD,242,23,62,15,0,3,35,2,3,21,35,.256,.322,.355,.678,0.0
30,389,Henry Rodriguez,CHC/FLA,367,47,94,21,1,20,61,1,2,36,99,.256,.327,.482,.809,-0.6
31,390,Aramis Ramirez,PIT,254,19,65,15,2,6,35,0,0,10,36,.256,.293,.402,.695,-1.1
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,391,Raul Chavez,HOU,43,3,11,2,0,1,5,0,0,3,6,.256,.298,.372,.670,-0.3
34,392,Dean Palmer,DET,524,73,134,22,2,29,102,4,2,66,146,.256,.338,.471,.809,1.0
35,393,Cal Ripken,BAL,309,43,79,16,0,15,56,0,0,23,37,.256,.310,.453,.763,1.2
36,394,Jerry Hairston Jr.,BAL,180,27,46,5,0,5,19,8,5,21,22,.256,.353,.367,.719,1.3
37,395,Damian Jackson,SD,470,68,120,27,6,6,37,28,6,62,108,.255,.345,.377,.721,2.5
38,396,Bobby Bonilla,ATL,239,23,61,13,3,5,28,0,0,37,51,.255,.356,.397,.754,-1.2
39,397,Frank Menechino,OAK,145,31,37,9,1,6,26,1,4,20,45,.255,.345,.455,.800,0.5
40,398,Jose Offerman,BOS,451,73,115,14,3,9,41,0,8,70,70,.255,.354,.359,.713,0.6
41,399,Pokey Reese,CIN,518,76,132,20,6,12,46,29,3,45,86,.255,.319,.386,.705,1.6
42,400,Harold Baines,BAL/CWS,283,26,72,13,0,11,39,0,0,36,50,.254,.338,.417,.754,-0.4
0,401,Chris Singleton,CWS,511,83,130,22,5,11,62,22,7,35,85,.254,.301,.382,.683,0.9
1,402,Jose Macias,DET,173,25,44,3,5,2,24,2,0,18,24,.254,.328,.364,.692,0.5
2,403,Jeremy Giambi,OAK,260,42,66,10,2,10,50,0,0,32,61,.254,.338,.423,.761,0.1
3,404,Greg Vaughn,TB,461,83,117,27,1,28,74,8,1,80,128,.254,.365,.499,.864,2.9
4,405,Jose Guillen,TB,316,40,80,16,5,10,41,3,1,18,65,.253,.320,.430,.750,0.6
5,406,Fernando Tatis,STL,324,59,82,21,1,18,64,2,3,57,94,.253,.379,.491,.870,1.4
6,407,Jay Buhner,SEA,364,50,92,20,0,26,82,0,2,59,98,.253,.361,.522,.883,1.7
7,,Mark Lewis,BAL/CIN,182,20,46,18,0,2,24,7,2,13,34,.253,.305,.385,.689,-0.6
8,409,Ray Lankford,STL,392,73,99,16,3,26,65,5,6,70,148,.253,.367,.508,.874,0.8
9,410,Tom Lampkin,SEA,103,15,26,6,1,7,23,0,0,9,17,.252,.325,.534,.859,0.6
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,411,Dave Berg,FLA,210,23,53,14,1,1,21,3,0,25,46,.252,.340,.343,.683,0.1
12,,Mike Redmond,FLA,210,17,53,8,1,0,15,0,0,13,19,.252,.316,.300,.616,0.1
13,413,Alex Gonzalez,TOR,527,68,133,31,2,15,69,4,4,43,113,.252,.313,.404,.717,0.4
14,414,Jose Canseco,NYY/TB,329,47,83,18,0,15,49,2,0,64,102,.252,.377,.444,.820,0.9
15,415,Randy Winn,TB,159,28,40,5,0,1,16,6,7,26,25,.252,.362,.302,.664,0.0
16,416,Robert Fick,DET,163,18,41,7,2,3,22,2,1,22,39,.252,.340,.374,.715,0.1
17,417,Jolbert Cabrera,CLE,175,27,44,3,1,2,15,6,4,8,15,.251,.290,.314,.605,-0.3
18,418,Charlie Hayes,MIL,370,46,93,17,0,9,46,1,1,57,84,.251,.348,.370,.718,0.2
19,419,Jose Vizcaino,NYY/LA,267,32,67,10,2,0,14,6,7,22,43,.251,.308,.303,.612,0.0
20,420,Bret Boone,SD,463,61,116,18,2,19,74,8,4,50,97,.251,.326,.421,.747,0.0
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,421,Damon Buford,CHC,495,64,124,18,3,15,48,4,6,47,118,.251,.324,.390,.714,0.4
23,422,Shawon Dunston,STL,216,28,54,11,2,12,43,3,1,6,47,.250,.278,.486,.764,0.2
24,,Terry Mulholland,ATL,36,3,9,3,0,0,4,0,0,0,16,.250,.250,.333,.583,0.4
25,,Eric Karros,LA,584,84,146,29,0,31,106,4,3,63,122,.250,.321,.459,.780,0.5
26,,Cal Eldred,CWS,4,3,1,0,0,0,0,0,0,2,1,.250,.500,.250,.750,0.2
27,,Turk Wendell,NYM,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0.0
28,,Curtis Pride,BOS,20,4,5,1,0,0,0,0,0,1,7,.250,.286,.300,.586,0.0
29,,Steve Trachsel,TOR/TB,4,0,1,0,0,0,0,0,0,1,1,.250,.400,.250,.650,0.1
30,,Ray Holbert,KC,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,-0.1
31,,Joe Vitiello,SD,52,7,13,3,0,2,8,0,0,10,9,.250,.365,.423,.788,-0.1
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,,Brian Boehringer,SD,4,0,1,1,0,0,2,0,0,0,0,.250,.250,.500,.750,0.1
34,,John Wasdin,BOS/COL,8,0,2,0,0,0,0,0,0,0,2,.250,.250,.250,.500,0.0
35,,Tyler Houston,MIL,284,30,71,15,0,18,43,2,1,17,72,.250,.292,.493,.785,0.1
36,,Terry Jones,MON,168,30,42,8,2,0,13,7,2,10,32,.250,.292,.321,.614,-0.8
37,,Bruce Aven,LA/PIT,168,20,42,11,0,7,29,2,3,8,39,.250,.284,.440,.725,-0.2
38,,A.J. Hinch,OAK,8,1,2,0,0,0,0,0,0,1,1,.250,.333,.250,.583,0.0
39,,Vic Darensbourg,FLA,8,0,2,0,0,0,0,0,0,0,2,.250,.250,.250,.500,0.0
40,,Kerry Wood,CHC,40,6,10,0,0,1,4,0,0,2,10,.250,.286,.325,.611,0.3
41,,Rick Ankiel,STL,68,8,17,1,1,2,9,0,0,4,20,.250,.292,.382,.674,0.8
42,,Kevin Walker,SD,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,0.0
0,441,Dusty Allen,DET/SD,28,5,7,2,0,2,2,0,0,4,12,.250,.344,.536,.879,0.0
1,,Keith Ginter,HOU,8,3,2,0,0,1,3,0,0,1,3,.250,.300,.625,.925,0.0
2,443,Ron Gant,ANA/PHI,425,69,106,19,3,26,54,6,6,56,91,.249,.335,.492,.827,1.9
3,444,Brian Daubach,BOS,495,55,123,32,2,21,76,1,1,44,130,.248,.315,.448,.764,-0.1
4,445,Ryan Christenson,OAK,129,31,32,2,2,4,18,1,2,19,33,.248,.349,.388,.737,0.3
5,446,Jason Varitek,BOS,448,55,111,31,1,10,65,1,1,60,84,.248,.342,.388,.730,1.0
6,447,Carlos Beltran,KC,372,49,92,15,4,7,44,13,0,35,69,.247,.309,.366,.675,0.6
7,448,Cristian Guzman,MIN,631,89,156,25,20,8,54,28,10,46,101,.247,.299,.388,.687,0.9
8,449,Raul Casanova,MIL,231,20,57,13,3,6,36,1,2,26,48,.247,.331,.407,.738,0.4
9,450,David Bell,SEA,454,57,112,24,2,11,47,2,3,42,66,.247,.316,.381,.697,0.6
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,,Alex Ramirez,CLE/PIT,227,26,56,11,2,9,30,2,0,12,49,.247,.285,.432,.716,-1.1
12,452,Paul Lo Duca,LA,65,6,16,2,0,2,8,0,2,6,8,.246,.301,.369,.671,0.3
13,453,Mark McLemore,SEA,481,72,118,23,1,3,46,30,14,81,78,.245,.353,.316,.669,1.0
14,454,Peter Bergeron,MON,518,80,127,25,7,5,31,11,13,58,100,.245,.320,.349,.669,-1.2
15,455,Marty Cordova,TOR,200,23,49,7,0,4,18,3,2,18,35,.245,.317,.340,.657,-1.4
16,456,Craig Paquette,STL,384,47,94,24,2,15,61,4,3,27,83,.245,.294,.435,.728,-0.7
17,,Mark Smith,FLA,192,22,47,8,1,5,27,2,0,17,54,.245,.310,.375,.685,-0.1
18,458,Jose Hernandez,MIL,446,51,109,22,1,11,59,3,7,41,125,.244,.315,.372,.687,-0.3
19,459,Wilton Veras,BOS,164,21,40,7,1,0,14,0,0,7,20,.244,.278,.299,.577,-0.8
20,460,Greg Norton,CWS,201,25,49,6,1,6,28,1,0,26,47,.244,.333,.373,.706,-0.5
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,461,Marquis Grissom,MIL,595,67,145,18,2,14,62,20,10,39,99,.244,.288,.351,.640,-1.0
23,462,Gary Bennett,PHI,74,8,18,5,0,2,5,0,0,13,15,.243,.371,.392,.763,0.3
24,,Jason Maxwell,MIN,111,14,27,6,0,1,11,2,1,9,32,.243,.298,.324,.623,0.1
25,464,Ozzie Guillen,TB,107,22,26,4,0,2,12,1,0,6,7,.243,.283,.336,.620,1.0
