,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
38,76,Joe Nathan,MIN,69,0,70.0,46,22,21,22,94,7,4,43,5,2.0,0.97,2.70
39,,Eric Gagne,LA,14,0,13.1,10,4,4,3,22,1,0,8,0,0.3,0.98,2.70
40,,Kane Davis,MIL,15,0,16.2,10,6,5,10,11,1,1,0,2,0.4,1.20,2.70
41,,Mike Gonzalez,PIT,51,0,50.0,35,15,15,31,58,1,3,3,0,1.4,1.32,2.70
42,,Mike Adams,MIL,13,0,13.1,12,4,4,10,14,0,1,1,1,0.3,1.65,2.70
0,81,Anthony Reyes,STL,4,1,13.1,6,4,4,4,12,1,1,0,0,0.3,0.75,2.70
1,82,Jesse Crain,MIN,75,0,79.2,61,28,24,29,25,12,5,1,3,1.7,1.13,2.71
2,83,Eddie Guardado,SEA,58,0,56.1,52,23,17,15,48,2,3,36,5,0.9,1.19,2.72
3,84,Bobby Jenks,CWS,32,0,39.1,34,15,12,15,50,1,1,6,2,0.7,1.25,2.75
4,,Jason Bergmann,WAS,15,1,19.2,14,6,6,11,21,2,0,0,0,0.4,1.27,2.75
5,86,Scot Shields,LAA,78,0,91.2,66,33,28,37,98,10,11,7,6,2.0,1.12,2.75
6,87,Salomon Torres,PIT,78,0,94.2,76,34,29,36,55,5,5,3,0,1.6,1.18,2.76
7,88,Rafael Betancourt,CLE,54,0,67.2,57,23,21,17,73,4,3,1,2,1.0,1.09,2.79
8,,Josh Rupe,TEX,4,1,9.2,7,4,3,4,6,1,0,0,0,0.2,1.14,2.79
9,90,Pedro Martinez,NYM,31,31,217.0,159,69,68,47,208,15,8,0,0,6.7,0.95,2.82
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,91,Vic Darensbourg,DET,22,0,22.1,24,7,7,7,9,1,1,0,0,0.5,1.39,2.82
12,92,Chris Carpenter,STL,33,33,241.2,204,82,76,51,213,21,5,0,0,5.5,1.06,2.83
13,93,Jay Witasick,OAK/COL,60,0,63.1,53,26,20,29,73,1,5,1,3,0.0,1.29,2.84
14,94,Kevin Millwood,CLE,30,30,192.0,182,72,61,52,146,9,11,0,0,3.7,1.22,2.86
15,95,Danys Baez,TB,67,0,72.1,66,27,23,30,51,5,4,41,8,1.9,1.33,2.86
16,96,Fernando Rodney,DET,39,0,44.0,39,14,14,17,42,2,3,9,6,1.0,1.27,2.86
17,97,Jose Capellan,MIL,17,0,15.2,17,6,5,5,14,1,1,0,0,0.2,1.40,2.87
18,98,Johan Santana,MIN,33,33,231.2,180,77,74,45,238,16,7,0,0,6.9,0.97,2.87
19,99,Jake Peavy,SD,30,30,203.0,162,70,65,50,216,13,7,0,0,4.3,1.04,2.88
20,100,Brian Fuentes,COL,78,0,74.1,59,25,24,34,91,2,5,31,3,2.6,1.25,2.91
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,101,Will Ohman,CHC,69,0,43.1,32,14,14,24,45,2,2,0,3,1.1,1.29,2.91
23,102,Gary Majewski,WAS,79,0,86.0,80,32,28,37,50,4,4,1,4,1.4,1.36,2.93
24,103,Roy Oswalt,HOU,35,35,241.2,243,85,79,48,184,20,12,0,0,5.6,1.20,2.94
25,104,Brad Thompson,STL,40,0,55.0,46,22,18,15,29,4,0,1,0,0.5,1.11,2.95
26,105,Trevor Hoffman,SD,60,0,57.2,52,23,19,12,54,1,6,43,3,0.6,1.11,2.97
27,106,Bret Prinz,LAA,3,0,3.0,4,1,1,1,1,0,1,0,0,0.0,1.67,3.00
28,,Santiago Casilla,OAK,3,0,3.0,2,1,1,1,1,0,0,0,0,0.0,1.00,3.00
29,,Jorge Vasquez,ATL,7,0,9.0,11,4,3,5,9,1,0,0,0,0.1,1.78,3.00
30,,Manny Delcarmen,BOS,10,0,9.0,8,3,3,7,9,0,0,0,0,0.2,1.67,3.00
31,,Jermaine Van Buren,CHC,6,0,6.0,2,2,2,9,3,0,2,0,0,0.1,1.83,3.00
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,111,Kelvim Escobar,LAA,16,7,59.2,45,21,20,21,63,3,2,1,0,1.4,1.11,3.02
34,112,John Smoltz,ATL,33,33,229.2,210,83,78,53,169,14,7,0,0,4.7,1.15,3.06
35,,Brian Cooper,SF,8,1,17.2,15,6,6,8,7,0,1,0,0,0.3,1.30,3.06
36,,Julio Mateo,SEA,55,1,88.1,79,32,30,17,52,3,6,0,2,1.8,1.09,3.06
37,115,David Riske,CLE,58,0,72.2,55,28,25,15,48,3,4,1,0,0.7,0.96,3.10
38,116,Andrew Sisco,KC,67,0,75.1,68,27,26,42,76,2,5,0,5,2.2,1.46,3.11
39,,Blaine Boyer,ATL,43,0,37.2,32,13,13,17,33,4,2,0,2,0.6,1.30,3.11
40,118,Jim Mecir,FLA,52,0,43.1,39,17,15,17,34,1,4,0,4,0.7,1.29,3.12
41,,John Parrish,BAL,14,0,17.1,19,6,6,17,25,1,0,0,0,0.3,2.08,3.12
42,120,Mark Buehrle,CWS,33,33,236.2,240,99,82,40,149,16,8,0,0,4.5,1.18,3.12
0,121,Ryan Dempster,CHC,63,6,92.0,83,35,32,49,89,5,3,33,2,2.1,1.43,3.13
1,122,John Patterson,WAS,31,31,198.1,172,71,69,65,185,9,7,0,0,4.6,1.19,3.13
2,123,Mike Myers,BOS,65,0,37.1,30,14,13,13,21,3,1,0,1,1.0,1.15,3.13
