,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
20,460,J.P. Howell,KC,15,15,72.2,73,55,50,39,54,3,5,0,0,-0.4,1.54,6.19
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,461,Sidney Ponson,BAL,23,23,130.1,177,97,90,48,68,7,11,0,0,-1.4,1.73,6.21
23,462,Bobby Madritsch,SEA,1,1,4.1,4,3,3,1,1,0,1,0,0,-0.1,1.15,6.23
24,,Jeff Bajenaru,CWS,4,0,4.1,4,3,3,0,3,0,0,0,0,0.0,0.92,6.23
25,464,Randy Keisler,CIN,24,4,56.0,64,45,39,28,43,2,1,0,0,-0.8,1.64,6.27
26,465,Edwin Jackson,LA,7,6,28.2,31,22,20,17,13,2,2,0,0,-0.5,1.67,6.28
27,466,John Maine,BAL,10,8,40.0,39,30,28,24,24,2,3,0,0,-0.4,1.58,6.30
28,467,Hayden Penn,BAL,8,8,38.1,46,30,27,21,18,3,2,0,0,-0.6,1.75,6.34
29,468,Dustin McGowan,TOR,13,7,45.1,49,34,32,17,34,1,3,0,0,-0.6,1.46,6.35
30,469,Luke Hudson,CIN,19,16,84.2,83,62,60,50,53,6,9,0,0,-1.0,1.57,6.38
31,470,Tim Harikkala,OAK,8,0,12.2,16,9,9,4,7,0,0,0,0,-0.1,1.58,6.39
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,,T.J. Tucker,WAS,13,0,12.2,20,9,9,2,5,1,0,0,0,-0.1,1.74,6.39
34,,Wayne Franklin,NYY,13,0,12.2,11,12,9,8,10,0,1,0,3,-0.4,1.50,6.39
35,473,Shawn Camp,KC,29,0,49.0,69,40,35,13,28,1,4,0,2,-0.9,1.67,6.43
36,474,Brandon Lyon,ARI,32,0,29.1,44,25,21,10,17,0,2,14,1,-1.2,1.84,6.44
37,475,Jose Acevedo,COL,36,5,64.0,86,48,46,16,31,2,4,1,1,-0.9,1.59,6.47
38,476,Eric Milton,CIN,34,34,186.1,237,141,134,52,123,8,15,0,0,-2.1,1.55,6.47
39,477,Matt Mantei,BOS,34,0,26.1,23,20,19,24,22,1,0,0,0,-0.3,1.78,6.49
40,478,Kevin Brown,NYY,13,13,73.1,107,57,53,19,50,4,7,0,0,-0.5,1.72,6.50
41,479,Adam Bernero,ATL,36,0,47.0,61,35,34,12,37,4,3,0,1,-1.1,1.55,6.51
42,480,Danny Graves,CIN/NYM,40,0,38.2,59,35,28,20,20,1,1,10,2,-0.3,2.04,6.52
0,481,Chin-Hui Tsao,COL,10,0,11.0,16,8,8,5,4,1,0,3,1,-0.2,1.91,6.55
1,482,Brandon League,TOR,20,0,35.2,42,27,26,20,17,1,0,0,0,-0.5,1.74,6.56
2,483,Mike Remlinger,BOS/CHC,43,0,39.2,46,33,29,17,35,0,3,0,1,-0.1,1.59,6.58
3,484,Seth McClung,TB,34,17,109.1,106,85,80,62,92,7,11,0,1,-1.4,1.54,6.59
4,485,Steve Reed,BAL,30,0,32.2,41,24,24,11,15,1,2,0,0,-0.5,1.59,6.61
5,486,Seth Etherton,OAK,3,3,17.2,16,13,13,5,10,1,1,0,0,-0.2,1.19,6.62
6,487,Jaime Cerda,KC,20,0,19.0,21,14,14,11,18,1,4,0,1,-0.2,1.68,6.63
7,488,R.A. Dickey,TEX,9,4,29.2,29,23,22,17,15,1,2,0,0,-0.3,1.55,6.67
8,489,Brian Anderson,KC,6,6,30.2,39,24,23,4,17,1,2,0,0,-0.3,1.40,6.75
9,,Bill Pulsipher,STL,5,0,4.0,5,3,3,2,1,0,0,0,0,-0.1,1.75,6.75
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,,Chad Fox,CHC,11,0,8.0,8,6,6,8,11,0,0,1,0,-0.2,2.00,6.75
12,,Travis Smith,FLA,12,0,10.2,17,8,8,5,9,0,0,0,0,-0.1,2.06,6.75
13,,Scott Strickland,HOU,5,0,4.0,4,3,3,0,2,0,0,0,0,-0.1,1.00,6.75
14,,Travis Harper,TB,52,0,73.1,88,57,55,24,40,4,6,0,3,-1.8,1.53,6.75
15,,Scott Atchison,SEA,6,0,6.2,7,5,5,1,9,0,0,0,0,-0.1,1.20,6.75
16,,Ricky Stone,CIN,23,0,30.2,48,24,23,7,15,0,0,0,0,-0.4,1.79,6.75
17,,Kyle Snyder,KC,13,3,36.0,55,29,27,10,19,1,3,0,0,-0.4,1.81,6.75
18,,Greg Jones,LAA,6,0,5.1,7,4,4,2,6,0,0,0,0,0.0,1.69,6.75
19,,Jon Switzer,TB,2,0,4.0,5,4,3,7,5,0,0,0,0,-0.1,3.00,6.75
20,,Clint Nageotte,SEA,3,0,4.0,6,3,3,1,1,0,0,0,0,0.0,1.75,6.75
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,,Hong-Chih Kuo,LA,9,0,5.1,5,4,4,5,10,0,1,0,1,-0.1,1.88,6.75
23,,Mike Esposito,COL,3,3,14.2,21,11,11,9,5,0,2,0,0,-0.1,2.05,6.75
24,503,Darrell May,NYY/SD,24,9,66.1,87,51,50,23,35,1,4,0,0,-0.4,1.66,6.78
25,504,Ron Mahay,TEX,30,0,35.2,47,28,27,16,30,0,2,1,0,-0.5,1.77,6.81
26,505,Randy Williams,SD/COL,32,0,26.1,33,21,20,13,21,3,1,0,2,-0.2,1.75,6.84
27,506,Zach Day,WAS/COL,17,8,47.1,61,40,36,32,23,1,3,0,1,-0.6,1.96,6.85
28,507,Doug Creek,DET,20,0,22.1,27,18,17,7,18,0,0,0,0,-0.5,1.52,6.85
29,508,Ryan Glynn,OAK,5,3,17.0,24,16,13,7,15,0,4,0,0,-0.6,1.82,6.88
30,509,Russ Ortiz,ARI,22,22,115.0,147,92,88,65,46,5,11,0,0,-1.9,1.84,6.89
31,510,C.J. Wilson,TEX,24,6,48.0,63,39,37,18,30,1,7,1,0,-0.7,1.69,6.94
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,511,Jose Lima,KC,32,32,168.2,219,140,131,61,80,5,16,0,0,-1.8,1.66,6.99
34,512,Steve Karsay,NYY/TEX,20,0,21.2,36,19,17,7,14,0,1,0,0,-0.3,1.98,7.06
35,513,Wil Ledezma,DET,10,10,49.2,61,46,39,24,30,2,4,0,0,-1.3,1.71,7.07
36,514,Ryan Jensen,KC,9,3,25.1,31,20,20,7,18,3,2,0,1,-0.2,1.50,7.11
37,515,Matt Herges,SF/ARI,28,0,29.0,35,23,23,12,9,1,1,0,0,0.1,1.62,7.14
38,516,Blaine Neal,BOS/COL,19,0,22.2,35,19,18,12,11,1,3,0,2,-0.1,2.07,7.15
39,,Justin Verlander,DET,2,2,11.1,15,9,9,5,7,0,2,0,0,-0.2,1.76,7.15
40,518,John Riedling,FLA,29,0,27.2,34,23,22,13,16,4,1,0,0,-0.8,1.70,7.16
41,519,Hideo Nomo,TB,19,19,100.2,127,82,81,51,59,5,8,0,0,-1.5,1.77,7.24
42,520,Brian Bruney,ARI,47,0,46.0,56,39,38,35,51,1,3,12,4,-1.6,1.98,7.43
0,521,Juan Cruz,OAK,28,0,32.2,38,33,27,22,34,0,3,0,0,-1.0,1.84,7.44
1,522,John Koronka,CHC,4,3,15.2,19,13,13,8,10,1,2,0,0,-0.3,1.72,7.47
2,523,Juan Carlos Oviedo,KC,41,0,53.2,73,45,45,18,32,3,2,0,1,-0.8,1.70,7.55
3,524,Dewon Brazelton,TB,20,8,71.0,87,65,60,60,43,1,8,0,1,-1.8,2.07,7.61
4,525,Alan Embree,BOS/NYY,67,0,52.0,62,47,44,14,38,2,5,1,2,-0.5,1.46,7.62
5,526,Brian Tallet,CLE,2,0,4.2,6,4,4,3,2,0,0,0,0,-0.1,1.93,7.71
6,,Joe Saunders,LAA,2,2,9.1,10,8,8,4,4,0,0,0,0,-0.2,1.50,7.71
7,528,Greg Aquino,ARI,35,0,31.1,42,29,27,17,34,0,1,1,2,-1.0,1.88,7.76
8,529,Paul Wilson,CIN,9,9,46.1,68,41,40,17,30,1,5,0,0,-1.0,1.83,7.77
9,530,Jason Anderson,NYY,3,0,5.2,4,5,5,7,2,1,0,0,0,-0.1,1.94,7.94
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,531,Ben Weber,CIN,10,0,12.1,20,11,11,9,8,0,0,0,0,-0.2,2.35,8.03
12,532,C.J. Nitkowski,WAS,7,0,3.1,5,3,3,2,2,0,0,0,0,-0.1,2.10,8.10
13,,Jorge De Paula,NYY,3,0,6.2,8,6,6,3,3,0,0,0,0,-0.1,1.65,8.10
14,534,Joe Valentine,CIN,16,0,14.1,18,15,13,11,9,0,1,0,1,-0.6,2.02,8.16
15,535,Brian Falkenborg,SD,10,0,11.0,17,11,10,5,10,0,0,0,0,-0.3,2.00,8.18
16,536,Rob Bell,TB,8,3,25.0,41,25,23,12,13,1,1,0,0,-0.8,2.12,8.28
17,537,Scott Cassidy,BOS/SD,11,0,13.0,19,13,12,3,12,1,1,0,0,-0.3,1.69,8.31
18,538,Buddy Carlyle,LA,10,0,14.0,16,13,13,4,13,0,0,0,1,-0.5,1.43,8.36
19,539,Elizardo Ramirez,CIN,6,4,22.1,33,22,21,10,9,0,3,0,0,-0.6,1.93,8.46
20,540,Chris Resop,FLA,15,0,17.0,22,16,16,9,15,2,0,0,0,-0.3,1.82,8.47
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,541,Bobby Seay,COL,17,0,11.2,18,11,11,8,11,0,0,0,1,-0.3,2.23,8.49
23,542,Jon Adkins,CWS,5,0,8.1,13,8,8,4,1,0,1,0,0,-0.3,2.04,8.64
24,543,Kevin Walker,CWS,9,0,7.0,10,7,7,5,5,0,1,0,1,-0.2,2.14,9.00
25,,Randy Choate,ARI,8,0,7.0,8,7,7,5,4,0,0,0,0,-0.4,1.86,9.00
26,,Matt White,WAS,1,1,4.0,4,4,4,3,3,0,1,0,0,-0.1,1.75,9.00
27,,Jon Leicester,CHC,6,1,9.0,11,10,9,9,7,0,2,0,0,-0.5,2.22,9.00
28,,Chris Demaria,KC,8,0,9.0,14,10,9,5,11,1,0,0,0,-0.3,2.11,9.00
29,548,Rich Hill,CHC,10,4,23.2,25,24,24,17,21,0,2,0,0,-0.9,1.77,9.13
30,549,Nate Field,KC,7,0,6.2,13,7,7,5,4,0,0,0,0,-0.3,2.70,9.45
31,550,Britt Reames,OAK,2,0,5.2,10,6,6,2,4,0,0,0,0,-0.1,2.12,9.53
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,551,Al Levine,SF,9,0,10.1,16,11,11,4,4,0,0,0,0,-0.4,1.94,9.58
34,552,Rick Bauer,BAL,5,0,8.1,13,9,9,4,5,0,0,0,0,-0.2,2.04,9.72
35,553,Matt Riley,TEX,7,0,12.2,16,14,14,10,4,1,0,0,0,-0.6,2.05,9.95
36,554,Gavin Floyd,PHI,7,4,26.0,30,31,29,16,17,1,2,0,0,-1.2,1.77,10.04
37,555,Brandon Puffer,SF,3,0,7.0,9,8,8,2,1,0,0,0,0,-0.3,1.57,10.29
38,556,Frank Castillo,FLA,1,1,4.1,4,5,5,5,4,0,1,0,0,-0.2,2.08,10.38
39,,Jimmy Journell,STL,5,0,4.1,6,6,5,5,5,0,1,0,0,-0.3,2.54,10.38
40,558,Carmen Cali,STL,6,0,6.0,10,8,7,6,5,0,0,0,0,0.0,2.67,10.50
41,559,Tim Redding,NYY/SD,10,7,30.2,44,41,36,17,19,0,6,0,0,-1.6,1.99,10.57
42,,Pedro Liriano,PHI,5,0,7.2,10,11,9,6,6,0,0,0,0,-0.4,2.09,10.57
0,561,Mike Matthews,NYM,6,0,5.0,9,6,6,4,2,1,0,0,0,-0.2,2.60,10.80
1,,Franklin Nunez,TB,5,0,5.0,5,6,6,4,2,1,0,0,0,-0.5,1.80,10.80
2,563,Brandon Duckworth,HOU,7,2,16.1,24,20,20,7,10,0,1,0,0,-0.8,1.90,11.02
3,,Javier Lopez,COL/ARI,32,0,16.1,26,20,20,11,12,1,1,2,2,-0.3,2.27,11.02
4,565,Logan Kensing,FLA,3,0,5.2,11,7,7,3,4,0,0,0,0,-0.4,2.47,11.12
5,,Sean Henn,NYY,3,3,11.1,18,16,14,11,3,0,3,0,0,-0.6,2.56,11.12
6,567,Ryan Bukvich,TEX,4,0,4.0,2,5,5,6,4,0,0,0,0,-0.3,2.00,11.25
7,568,Tom Gorzelanny,PIT,3,1,6.0,10,8,8,3,3,0,1,0,0,-0.4,2.17,12.00
8,569,Allan Simpson,CIN/COL,11,0,7.1,6,10,10,8,6,0,1,0,1,-0.4,1.91,12.27
9,570,Matt Anderson,COL,12,0,10.0,19,17,14,11,4,0,0,0,0,-0.8,3.00,12.60
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,,Joey Devine,ATL,5,0,5.0,6,7,7,5,3,0,1,0,0,-0.4,2.20,12.60
12,572,Terry Adams,PHI,16,0,13.1,25,19,19,10,4,0,2,0,1,-1.0,2.63,12.83
13,573,Chad Gaudin,TOR,5,3,13.0,31,19,19,6,12,1,3,0,0,-0.9,2.85,13.15
14,574,Kevin Jarvis,STL,4,0,3.1,3,5,5,3,2,0,1,0,1,-0.3,1.80,13.50
15,,Michael Tejera,TEX,3,0,2.0,5,3,3,1,2,0,0,0,0,-0.1,3.00,13.50
16,,Adam Wainwright,STL,2,0,2.0,2,3,3,1,0,0,0,0,0,-0.1,1.50,13.50
17,,David Sanders,CWS,2,0,2.0,3,3,3,1,1,0,0,0,0,-0.1,2.00,13.50
18,,Alex Graman,NYY,2,0,1.1,3,2,2,2,0,0,0,0,0,-0.1,3.75,13.50
19,,Bryan Bullington,PIT,1,0,1.1,1,2,2,1,1,0,0,0,0,-0.3,1.50,13.50
20,580,Kerry Ligtenberg,ARI,7,0,9.2,16,15,15,4,5,0,0,0,0,-0.7,2.07,13.97
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,581,Edinson Volquez,TEX,6,3,12.2,25,22,20,10,11,0,4,0,0,-1.1,2.76,14.21
23,582,Carlos Almanzar,TEX,6,0,5.0,10,8,8,7,3,0,0,0,0,-0.3,3.40,14.40
24,583,Abe Alvarez,BOS,2,0,2.1,6,4,4,0,1,0,0,0,0,-0.1,2.57,15.43
25,584,Ramiro Mendoza,NYY,1,0,1.0,2,2,2,0,1,0,0,0,0,-0.1,2.00,18.00
26,,John Webb,TB,1,1,4.0,6,8,8,4,2,0,1,0,0,-0.3,2.50,18.00
27,586,Tom Martin,ATL,4,0,2.1,6,5,5,2,0,0,0,0,0,-0.3,3.43,19.29
28,587,Matt Whiteside,TOR,2,0,3.2,6,8,8,5,5,0,0,0,0,-0.3,3.00,19.64
29,588,Joe Horgan,WAS,8,0,6.0,19,15,14,4,5,0,0,0,0,-0.8,3.83,21.00
30,589,Justin Thompson,TEX,2,0,1.2,4,4,4,0,1,0,0,0,0,-0.2,2.40,21.60
31,,Jim Crowell,FLA,4,0,3.1,10,8,8,0,2,0,0,0,0,-0.3,3.00,21.60
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,,Yorman Bazardo,FLA,1,0,1.2,5,5,4,2,2,0,0,0,0,-0.5,4.20,21.60
34,592,Tim Hamulack,NYM,6,0,2.1,7,6,6,1,2,0,0,0,0,-0.4,3.43,23.14
35,593,Sean Burroughs,SD,1,0,1.0,4,3,3,0,0,0,0,0,0,-0.1,4.00,27.00
36,,Cla Meredith,BOS,3,0,2.1,6,7,7,4,0,0,0,0,0,-0.4,4.29,27.00
37,595,Chad Bentz,FLA,4,0,2.0,8,7,7,0,0,0,0,0,0,-0.5,4.00,31.50
38,,Chris Booker,CIN,3,0,2.0,6,8,7,4,2,0,0,0,0,-0.3,5.00,31.50
39,597,Mike Johnston,PIT,1,0,1.0,4,4,4,0,2,0,0,0,0,-0.1,4.00,36.00
40,598,Antonio Osuna,WAS,4,0,2.1,9,11,11,7,0,0,0,0,0,-0.5,6.86,42.43
41,599,Édgar González,ARI,1,0,0.1,2,4,4,2,1,0,0,0,0,-0.1,12.00,108.00
